session_id,charger_id,city,connector_type,max_power_kw,location_type,start_time,end_time,energy_delivered_kwh,peak_power_kw,avg_power_kw,session_duration_min,soc_start,soc_end,month_year
0618b3c2-c10,EVC-VAD-0059,Vadodara,Bharat_DC,7.4,Mall,2023-01-01T09:23:00,2023-01-01T13:00:00,22.16,6.4,6.13,217,29,53,2023-01
c021450e-398,EVC-SUR-0085,Surat,Type2_AC,3.3,Residential,2023-01-01T17:10:00,2023-01-01T17:36:00,1.02,2.78,2.35,26,43,81,2023-01
a365666f-d93,EVC-AHM-0003,Ahmedabad,CCS2,22,Public,2023-01-01T15:53:00,2023-01-01T18:43:00,45.95,18.82,16.22,170,50,96,2023-01
00d6bbcc-a7c,EVC-VAD-0098,Vadodara,CCS2,150,Highway,2023-01-01T12:50:00,2023-01-01T13:53:00,65.1,73.17,62.0,63,34,63,2023-01
a3ae0c70-d06,EVC-BHA-0016,Bhavnagar,CCS2,120,Office,2023-01-01T21:13:00,2023-01-02T00:07:00,193.74,76.88,66.81,174,43,68,2023-01
b3f98967-ad3,EVC-JUN-0020,Junagadh,Bharat_DC,22,Residential,2023-01-01T14:13:00,2023-01-01T16:17:00,20.26,11.33,9.81,124,20,96,2023-01
d466c6d3-cf1,EVC-MEH-0051,Mehsana,Type2_AC,22,Public,2023-01-01T17:32:00,2023-01-01T21:05:00,42.45,13.45,11.96,213,30,90,2023-01
18c7f29b-2d9,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-01-01T11:34:00,2023-01-01T13:15:00,57.16,38.89,33.96,101,50,70,2023-01
9c05f7a7-809,EVC-AHM-0023,Ahmedabad,CCS2,7.4,Highway,2023-01-01T08:12:00,2023-01-01T10:02:00,10.48,6.12,5.71,110,37,64,2023-01
6c131fc6-a7f,EVC-JAM-0024,Jamnagar,CCS2,7.4,Office,2023-01-01T08:24:00,2023-01-01T12:02:00,15.55,4.91,4.28,218,33,71,2023-01
57e4bcf7-8d3,EVC-JAM-0074,Jamnagar,CCS2,50,Residential,2023-01-01T11:12:00,2023-01-01T13:37:00,95.81,46.89,39.65,145,18,54,2023-01
a7f16bd4-42b,EVC-BHA-0057,Bhavnagar,CCS2,22,Office,2023-01-02T09:30:00,2023-01-02T10:22:00,17.36,20.71,20.03,52,23,95,2023-01
76281927-d78,EVC-VAD-0059,Vadodara,Bharat_DC,7.4,Mall,2023-01-02T12:36:00,2023-01-02T15:42:00,16.66,5.88,5.38,186,16,75,2023-01
82a8d6d3-112,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-01-02T20:12:00,2023-01-02T21:52:00,181.2,111.42,108.72,100,39,61,2023-01
1f6595b5-dd9,EVC-VAD-0056,Vadodara,Bharat_DC,120,Office,2023-01-02T15:41:00,2023-01-02T17:23:00,106.12,64.91,62.42,102,16,92,2023-01
4d62e29d-442,EVC-BHA-0015,Bharuch,CCS2,3.3,Office,2023-01-02T11:20:00,2023-01-02T12:15:00,1.76,1.94,1.92,55,9,81,2023-01
a6bc6d94-038,EVC-JAM-0074,Jamnagar,CCS2,50,Residential,2023-01-02T16:33:00,2023-01-02T16:43:00,6.0,38.4,36.03,10,48,100,2023-01
7e4a2252-720,EVC-JAM-0074,Jamnagar,CCS2,50,Residential,2023-01-02T12:49:00,2023-01-02T13:28:00,29.02,46.27,44.65,39,43,83,2023-01
9c2079fd-590,EVC-AHM-0003,Ahmedabad,CCS2,22,Public,2023-01-02T06:23:00,2023-01-02T07:50:00,24.58,19.65,16.95,87,22,88,2023-01
ea26daca-ae0,EVC-VAD-0056,Vadodara,Bharat_DC,120,Office,2023-01-02T13:24:00,2023-01-02T15:48:00,138.1,64.33,57.54,144,21,45,2023-01
d82584bc-993,EVC-RAJ-0089,Rajkot,Bharat_DC,22,Residential,2023-01-02T08:19:00,2023-01-02T10:04:00,19.82,12.14,11.32,105,9,59,2023-01
1a8899df-410,EVC-RAJ-0072,Rajkot,CHAdeMO,7.4,Public,2023-01-02T11:07:00,2023-01-02T12:53:00,7.13,4.55,4.04,106,44,78,2023-01
5a0ec86d-614,EVC-AHM-0097,Ahmedabad,CCS2,3.3,Mall,2023-01-02T10:38:00,2023-01-02T10:59:00,0.79,2.68,2.26,21,49,100,2023-01
40dcb928-5be,EVC-BHA-0019,Bharuch,CCS2,7.4,Public,2023-01-02T14:27:00,2023-01-02T18:11:00,16.58,4.71,4.44,224,13,54,2023-01
15b7b389-77e,EVC-JAM-0074,Jamnagar,CCS2,50,Residential,2023-01-02T18:04:00,2023-01-02T19:54:00,64.1,35.43,34.96,110,28,67,2023-01
8cee9a0a-9d2,EVC-BHA-0062,Bharuch,Type2_AC,7.4,Public,2023-01-02T20:59:00,2023-01-02T22:31:00,5.73,3.79,3.74,92,12,78,2023-01
422352f5-174,EVC-ANA-0004,Anand,Type2_AC,50,Office,2023-01-02T05:18:00,2023-01-02T06:24:00,49.83,52.25,45.3,66,47,72,2023-01
c07854da-065,EVC-RAJ-0069,Rajkot,CCS2,3.3,Residential,2023-01-02T13:35:00,2023-01-02T16:52:00,5.1,1.7,1.55,197,39,100,2023-01
774a970d-d59,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-01-02T18:06:00,2023-01-02T21:41:00,51.03,16.44,14.24,215,32,100,2023-01
378f3c25-068,EVC-AHM-0065,Ahmedabad,Bharat_DC,7.4,Public,2023-01-02T11:31:00,2023-01-02T12:11:00,2.92,4.62,4.38,40,34,57,2023-01
